season,mnth,weekday,weathersit,yr,hr,holiday,workingday,temp,atemp,hum,windspeed,cnt
spring,Mar,Sun,cloudy,2011,20,0,0,5.160000000000002,1.9982000000000009,45.0,16.997899999999998,85
summer,Jul,Thu,rain,2012,15,0,1,35.24,40.001000000000005,35.0,23.9994,194
summer,Jun,Wed,clear,2012,15,0,1,25.84,26.998999999999995,28.000000000000004,31.0009,317
spring,Apr,Sat,clear,2011,0,0,1,8.919999999999998,7.000999999999998,62.0,12.998,33
spring,Mar,Fri,clear,2012,15,0,1,16.44,17.0,39.0,23.9994,307
summer,Aug,Tue,clear,2011,1,0,1,23.96,26.002399999999994,83.0,8.9981,12
spring,Apr,Wed,clear,2012,4,0,1,7.040000000000001,5.997799999999998,66.0,6.0032,1
fall,Dec,Thu,clear,2012,1,0,1,16.44,17.0,55.00000000000001,22.0028,11
summer,Jul,Fri,clear,2012,21,0,1,29.6,32.9984,49.0,40.9973,271
summer,Sep,Sat,rain,2011,2,0,1,21.14,22.9994,73.0,7.0015,20
winter,Feb,Sat,clear,2012,16,0,1,10.8,11.000600000000002,37.0,7.0015,311
fall,Dec,Sat,cloudy,2012,2,0,1,4.220000000000001,1.9982000000000009,70.0,8.9981,11
spring,May,Sun,cloudy,2011,17,0,0,25.84,26.998999999999995,42.0,11.0014,444
summer,Jul,Fri,clear,2011,5,0,1,24.9,26.998999999999995,65.0,7.0015,27
fall,Dec,Wed,cloudy,2012,14,0,1,9.86,9.9974,50.0,15.0013,204
summer,Aug,Wed,clear,2011,13,0,1,32.42,32.9984,30.0,15.0013,203
winter,Feb,Sun,cloudy,2012,13,0,0,4.220000000000001,-0.0015999999999998,81.0,19.0012,235
winter,Jan,Fri,cloudy,2012,5,0,1,6.1,5.001199999999997,75.0,7.0015,28
summer,Aug,Tue,clear,2011,10,0,1,29.6,32.9984,52.0,26.0027,124
fall,Oct,Sun,clear,2012,14,0,0,18.320000000000004,18.9998,40.0,0.0,711
spring,Apr,Mon,clear,2011,2,0,0,10.8,11.000600000000002,62.0,12.998,29
winter,Feb,Fri,rain,2011,16,0,1,9.86,9.9974,62.0,19.0012,71
fall,Dec,Mon,rain,2012,1,0,0,7.98,7.000999999999998,76.0,7.0015,96
spring,Mar,Fri,cloudy,2011,17,0,1,6.1,3.0014000000000003,87.0,16.997899999999998,168
fall,Oct,Wed,clear,2011,16,0,1,18.320000000000004,18.9998,37.0,12.998,285
spring,May,Mon,clear,2011,17,0,0,24.9,26.998999999999995,57.99999999999999,16.997899999999998,306
summer,Jul,Wed,clear,2012,6,0,1,23.020000000000003,24.0026,83.0,8.9981,190
winter,Mar,Mon,clear,2012,18,0,0,7.040000000000001,1.9982000000000009,33.0,40.9973,184
winter,Jan,Fri,clear,2011,19,0,1,2.34,1.0015999999999998,55.00000000000001,6.0032,112
summer,Aug,Mon,rain,2011,17,0,0,26.78,30.9986,74.0,43.000600000000006,194
spring,Jun,Tue,clear,2012,11,0,1,22.08,24.9992,38.0,32.9975,239
winter,Jan,Thu,cloudy,2011,0,0,1,2.34,1.9982000000000009,93.0,0.0,3
summer,Sep,Tue,clear,2012,2,0,1,17.380000000000003,18.0032,60.0,23.9994,17
summer,Jul,Sat,clear,2011,16,0,1,25.84,28.002199999999995,51.0,12.998,361
