longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,MedianPrice
-118.12,33.81,37,1798,331.0,860,340,4.2143,<1H OCEAN,228500
-121.98,37.16,42,2533,433.0,957,398,5.3468,<1H OCEAN,279900
-122.69,38.45,36,1943,337.0,711,318,3.9191,<1H OCEAN,183000
-118.41,34.16,32,3060,505.0,1159,510,6.3703,<1H OCEAN,465800
-121.33,38.57,17,1621,350.0,706,338,2.3684,INLAND,150000
-117.99,33.73,24,2104,421.0,1181,414,3.8365,<1H OCEAN,250900
-117.35,33.16,22,1331,305.0,580,193,3.975,NEAR OCEAN,500001
-117.12,34.06,38,281,55.0,151,52,1.3906,INLAND,120800
-118.4,33.78,26,5005,776.0,2357,790,8.5421,NEAR OCEAN,500001
-118.25,34.01,36,879,262.0,1034,236,1.2857,<1H OCEAN,99300
-121.07,38.66,22,1831,274.0,813,269,4.6394,INLAND,173400
-120.2,39.33,26,1988,379.0,905,321,3.7841,INLAND,109500
-117.19,34.03,36,2223,361.0,942,331,4.6806,INLAND,152400
-120.89,37.52,42,1200,221.0,647,192,2.5402,INLAND,157500
-122.24,37.47,36,2021,433.0,1117,432,3.929,NEAR OCEAN,303100
-117.09,32.56,8,864,156.0,626,172,4.8984,NEAR OCEAN,151500
-120.63,38.75,17,3145,621.0,1432,559,2.7201,INLAND,117500
-117.65,33.49,16,2223,454.0,628,382,4.3603,<1H OCEAN,248800
-117.29,33.08,18,3225,515.0,1463,476,5.7787,NEAR OCEAN,346700
-122.2,37.89,37,3881,560.0,1315,517,7.3195,NEAR BAY,367500
-118.15,34.18,46,2230,488.0,1985,456,2.2328,<1H OCEAN,142100
-120.97,37.66,19,1974,393.0,799,377,3.1286,INLAND,137500
-120.96,37.67,18,1442,229.0,538,220,4.2969,INLAND,163200
-121.34,36.76,15,2638,429.0,1289,357,4.1528,INLAND,336800
-116.17,33.66,22,639,203.0,664,153,1.9306,INLAND,47500
-122.86,39.05,20,1592,327.0,647,253,2.5326,INLAND,136800
-117.37,33.96,33,3974,548.0,1398,528,7.2519,INLAND,216600
-121.06,39.04,14,1651,279.0,633,261,4.2802,INLAND,194800
-122.04,37.96,20,1143,346.0,578,298,2.2411,NEAR BAY,151800
-117.03,32.72,37,2192,455.0,1515,446,3.0588,NEAR OCEAN,120600
-122.43,37.72,52,3351,719.0,2101,706,3.0107,NEAR BAY,242000
-122.01,37.93,25,2652,335.0,1062,334,7.5898,NEAR BAY,330200
-118.33,34.19,45,1505,347.0,799,319,3.138,<1H OCEAN,217000
-118.2,33.97,28,2474,702.0,2830,694,2.754,<1H OCEAN,166200
-117.86,33.8,34,1793,480.0,1722,441,2.8235,<1H OCEAN,153100
-121.36,36.81,7,4609,741.0,1660,720,5.0871,INLAND,290500
-117.17,34.12,3,15695,2248.0,6080,1920,6.2178,INLAND,173900
-122.51,37.76,43,2345,624.0,1439,614,2.8448,NEAR OCEAN,268900
-121.26,38.27,20,1314,229.0,712,219,4.4125,INLAND,144600
-121.88,38.0,22,721,117.0,367,129,5.3098,INLAND,151900
-118.16,33.86,26,6607,1663.0,4066,1558,2.5068,<1H OCEAN,156300
-118.27,33.96,38,1126,270.0,999,265,0.5495,<1H OCEAN,91700
-120.43,35.17,16,947,163.0,477,137,3.851,<1H OCEAN,315000
-117.13,32.75,37,4142,1031.0,1936,968,2.693,NEAR OCEAN,174100
-115.56,32.96,21,2164,480.0,1164,421,3.8177,INLAND,107200
-122.33,38.0,35,3779,711.0,2493,679,2.9781,NEAR BAY,109000
-116.39,34.15,15,5583,1149.0,2709,964,1.9779,INLAND,73300
-116.35,34.13,9,1969,406.0,805,349,1.5491,INLAND,62300
-122.48,37.71,43,3850,1018.0,1497,829,3.5296,NEAR OCEAN,400000
-119.29,36.32,35,1898,481.0,1123,433,1.1419,INLAND,62900
-120.88,37.57,22,1440,267.0,774,249,3.9821,INLAND,204300
-118.34,34.17,52,1133,212.0,545,222,4.875,<1H OCEAN,249500
-122.12,37.4,31,2356,405.0,921,358,7.0245,NEAR BAY,500001
-118.44,34.18,33,2127,414.0,1056,391,4.375,<1H OCEAN,286100
-118.12,33.75,41,2072,491.0,742,414,3.9934,NEAR OCEAN,500001
-118.4,34.14,45,417,89.0,187,88,5.1377,<1H OCEAN,360700
-116.93,33.73,13,3603,573.0,1644,515,4.0433,INLAND,132300
-122.39,37.76,52,3390,691.0,1645,596,3.7051,NEAR BAY,253700
-119.01,36.02,17,3915,742.0,1768,688,2.375,INLAND,79800
-115.58,32.81,10,1088,203.0,533,201,3.6597,INLAND,87500
-117.2,33.83,14,1265,230.0,621,173,3.6618,INLAND,161300
-122.2,37.75,36,606,132.0,531,133,1.5809,NEAR BAY,70000
-120.45,37.32,19,3136,466.0,1631,484,3.6471,INLAND,101400
-117.66,34.15,20,2524,311.0,965,285,8.0103,INLAND,395500
-117.11,32.78,16,2220,512.0,930,527,3.6528,NEAR OCEAN,133200
-118.08,34.11,42,1969,353.0,927,354,5.5924,<1H OCEAN,285300
-120.66,35.27,17,2719,589.0,1386,570,3.7337,NEAR OCEAN,208200
-118.1,33.94,33,639,129.0,460,118,3.1607,<1H OCEAN,189000
-119.03,35.41,37,1761,443.0,911,365,2.0331,INLAND,53200
-117.92,33.92,19,2181,400.0,1272,337,5.1952,<1H OCEAN,302100
-121.93,37.72,26,2806,459.0,1453,444,4.9107,<1H OCEAN,213800
-118.47,34.02,38,2163,651.0,1759,584,2.3382,<1H OCEAN,297500
-117.96,33.7,23,4417,740.0,1865,693,5.3428,<1H OCEAN,279300
-118.19,34.03,42,2250,629.0,2588,609,1.9719,<1H OCEAN,134200
-121.18,39.23,8,2112,360.0,782,344,3.7125,INLAND,175000
-122.28,37.84,49,1916,447.0,863,378,1.9274,NEAR BAY,122300
-117.24,34.11,23,1920,454.0,1161,358,2.2109,INLAND,73200
-122.18,37.89,18,4845,735.0,1634,734,8.1489,NEAR BAY,499000
-117.99,34.08,35,1032,207.0,954,191,2.8906,INLAND,134800
-118.12,33.75,47,3330,569.0,1220,557,7.3672,NEAR OCEAN,500001
-118.38,33.96,44,2395,458.0,1287,450,4.6923,<1H OCEAN,299000
-122.28,38.29,19,531,112.0,139,80,1.9875,NEAR BAY,325000
-117.12,32.91,8,3405,961.0,1742,918,2.8728,<1H OCEAN,114600
-118.13,34.08,35,2517,662.0,1883,607,2.5787,<1H OCEAN,223000
-118.18,34.09,40,2744,708.0,2747,674,2.6226,<1H OCEAN,148800
-121.2,37.79,36,866,160.0,502,149,2.4798,INLAND,101500
-122.11,38.09,11,673,145.0,318,137,2.3929,NEAR BAY,122500
-122.4,37.62,44,1619,362.0,1064,335,4.0238,NEAR OCEAN,224200
-118.01,33.85,29,2064,447.0,1265,400,3.8864,<1H OCEAN,209300
-117.95,33.92,11,3127,706.0,1594,694,4.3426,<1H OCEAN,141300
-117.19,33.9,3,21060,3366.0,9623,2812,4.189,INLAND,143000
-120.6,38.76,22,1236,273.0,615,248,3.0217,INLAND,106900
-121.96,37.34,18,4438,939.0,1901,895,5.3873,<1H OCEAN,288300
-121.96,37.84,29,7479,977.0,2744,943,7.5139,INLAND,398200
-119.74,36.71,17,5872,1250.0,5034,1224,2.1905,INLAND,61800
-117.77,33.7,4,2446,622.0,1315,560,3.7147,<1H OCEAN,137500
-117.79,33.84,9,10484,1603.0,4005,1419,8.3931,<1H OCEAN,365300
-117.12,32.57,21,1738,295.0,983,298,4.8274,NEAR OCEAN,174100
-118.33,33.94,31,3757,1102.0,3288,964,1.9309,<1H OCEAN,137500
-118.28,34.01,34,2305,775.0,2450,740,1.7143,<1H OCEAN,132000
-117.98,34.06,36,2391,407.0,1967,398,4.0274,<1H OCEAN,160700
-117.03,33.13,15,7000,1185.0,3555,1118,4.7022,<1H OCEAN,172800
-122.46,37.65,16,8676,1633.0,5130,1574,4.8096,NEAR OCEAN,262000
-118.18,33.79,27,1580,510.0,1896,448,2.0186,NEAR OCEAN,130000
-119.01,35.37,33,821,181.0,579,172,1.2469,INLAND,46700
-118.19,33.79,29,3497,1096.0,2994,919,1.8109,NEAR OCEAN,137500
-121.84,36.61,15,2190,586.0,1570,510,1.875,<1H OCEAN,122300
-118.93,36.1,19,2988,681.0,1654,576,2.3792,INLAND,90000
-121.48,39.1,19,2043,421.0,1018,390,2.5952,INLAND,92400
-117.21,32.83,28,3241,533.0,1334,513,4.1806,NEAR OCEAN,199600
-118.36,33.89,37,1719,426.0,1266,424,3.375,<1H OCEAN,228000
-122.57,38.58,18,2083,506.0,926,487,1.9925,INLAND,225000
-118.94,34.18,25,3502,508.0,1713,508,5.5181,<1H OCEAN,242100
-122.14,37.9,32,5738,746.0,2099,732,10.3224,NEAR BAY,500001
-119.85,36.83,11,2497,427.0,1101,405,4.8036,INLAND,141600
-118.2,33.93,36,2210,634.0,2341,553,2.1715,<1H OCEAN,131100
-122.03,37.69,20,200,25.0,83,31,6.5,NEAR BAY,340000
-117.21,32.81,27,1318,216.0,495,191,5.2837,NEAR OCEAN,283800
-121.27,37.87,34,1010,206.0,678,234,2.9531,INLAND,104000
-117.96,33.76,24,1328,290.0,1012,306,4.2813,<1H OCEAN,189500
-118.38,34.21,42,715,145.0,730,158,3.8,<1H OCEAN,169500
-118.01,33.93,34,2424,468.0,1293,444,3.275,<1H OCEAN,189900
-118.58,34.17,29,3393,574.0,1471,587,6.2064,<1H OCEAN,334900
-117.91,33.63,32,1122,233.0,557,223,3.5388,<1H OCEAN,407000
-121.79,37.99,10,4156,609.0,1878,586,5.6506,INLAND,178600
-117.28,33.06,8,4172,1022.0,2585,941,4.0118,NEAR OCEAN,245800
-122.1,37.66,37,901,191.0,599,206,3.7303,NEAR BAY,149700
-118.4,34.41,22,4443,560.0,1573,496,10.0285,<1H OCEAN,500001
-118.3,34.08,32,2880,1063.0,3646,1028,2.3846,<1H OCEAN,258300
-120.18,39.17,18,1703,360.0,354,163,3.6563,INLAND,146900
-121.28,38.14,38,2803,500.0,1223,509,4.119,INLAND,128800
-117.91,33.63,32,1901,400.0,946,418,2.7264,<1H OCEAN,311100
-117.69,33.52,4,2142,625.0,1176,483,3.4455,<1H OCEAN,325000
-117.04,32.64,5,2329,542.0,1213,514,4.0298,NEAR OCEAN,225600
-122.26,37.83,52,1470,330.0,689,309,3.48,NEAR BAY,191400
-118.41,34.23,35,1026,195.0,753,185,4.5909,<1H OCEAN,179200
-121.96,37.95,7,3418,740.0,1583,676,3.6133,INLAND,196100
-118.21,33.91,24,1545,391.0,1807,388,2.6429,<1H OCEAN,105300
-117.1,32.71,29,3422,713.0,2775,644,1.7075,NEAR OCEAN,86900
-120.57,39.78,15,1291,283.0,582,242,2.1216,INLAND,102000
-118.53,34.03,40,4350,763.0,1551,665,7.0318,<1H OCEAN,500001
-118.99,35.37,38,918,220.0,743,222,1.7292,INLAND,58100
-118.36,34.02,46,3745,798.0,1502,808,3.8643,<1H OCEAN,195800
-122.01,36.95,52,1217,325.0,508,237,2.0547,NEAR OCEAN,326700
-117.88,33.7,16,1505,358.0,835,339,3.8029,<1H OCEAN,205400
-117.1,32.56,16,2687,501.0,1502,480,3.75,NEAR OCEAN,146800
-119.71,34.43,18,1170,372.0,681,346,2.1974,<1H OCEAN,255000
-117.92,34.03,32,1819,375.0,1728,375,3.975,<1H OCEAN,162400
-118.08,33.99,38,1683,328.0,1369,339,3.6196,<1H OCEAN,170700
-121.83,39.76,12,9831,1921.0,4644,1775,3.1142,INLAND,112600
-117.8,33.68,14,2635,516.0,1150,499,4.4391,<1H OCEAN,306700
-120.98,37.71,22,434,89.0,195,86,2.4211,INLAND,268800
-117.98,33.81,28,3528,816.0,2304,764,2.582,<1H OCEAN,181800
-118.02,33.77,7,586,118.0,232,107,5.2077,<1H OCEAN,181300
